PartCondition,AircraftTotalTime
CORRODED,32637.0
CORRODED,32637.0
CORRODED,32637.0
CORRODED,32637.0
CORRODED,32637.0
CORRODED,32637.0
CORRODED,32637.0
CRACKED,6052.0
CRACKED,6577.0
CRACKED,204.0
CRACKED,204.0
CORRODED,7748.0
CORRODED,7748.0
CORRODED,7748.0
CORRODED,15293.0
CRACKED,64783.0
CORRODED,7748.0
CORRODED,13061.0
CORRODED,13061.0
CORRODED,13061.0
CORRODED,13061.0
CORRODED,80231.0
CORRODED,84936.0
CRACKED,74346.0
CORRODED,36343.0
CORRODED,36343.0
CRACKED,55749.0
CRACKED,53635.0
CORRODED,58618.0
CORRODED,58618.0
CORRODED,58618.0
CORRODED,58618.0
CORRODED,58618.0
CORRODED,58618.0
CORRODED,58618.0
CORRODED,58618.0
CORRODED,53376.0
CORRODED,55749.0
CRACKED,42771.0
CORRODED,58618.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CORRODED,23344.0
CRACKED,71926.0
CORRODED,27106.0
CORRODED,27106.0
CORRODED,27106.0
CORRODED,30377.0
CORRODED,60253.0
CRACKED,60253.0
CRACKED,60253.0
CRACKED,60253.0
CORRODED,64393.0
CORRODED,64393.0
CORRODED,64393.0
CRACKED,64393.0
CRACKED,56175.0
CRACKED,45154.0
CORRODED,28751.0
CORRODED,28751.0
CRACKED,45154.0
CORRODED,76493.0
CORRODED,76120.0
CRACKED,76120.0
CORRODED,76120.0
CORRODED,10569.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
CORRODED,13081.0
